==27977== NVPROF is profiling process 27977, command: ./backprop 65536
==27977== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==27977== Profiling application: ./backprop 65536
==27977== Profiling result:
==27977== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_read_l1_sector_queries",339879,339879,339879
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp0_read_l1_hit_sectors",71934,71934,71934
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp1_read_l1_hit_sectors",72094,72094,72094
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp2_read_l1_hit_sectors",72093,72093,72093
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_read_l1_hit_sectors",268514,268514,268514
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp0_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp1_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp2_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp0_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp1_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp2_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp0_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp1_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp2_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp3_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp1_gld_thread_count_64b",0,0,0
